LineId,Date,Time,time_zone,Level,Component,log_tag,Content,EventId,EventTemplate
85,2021-12-20,15:50:46.962,PST,INFO,26127-1,TFADirectoryManager,Successfully added directory : /scratch/u01/app/grid_base/diag/asm/+asm/+ASM1/trace| ASM |{ASM|instance=+ASM1}||+ASM1,20f5f451,Successfully added directory : <*>
86,2021-12-20,15:50:47.971,PST,INFO,26127-1,TFADirectoryManager,Successfully added directory : /scratch/u01/app/grid_base/diag/asmcmd/user_oradb/den00xrz/trace| ASM |null||den00xrz,20f5f451,Successfully added directory : <*>
87,2021-12-20,15:50:48.981,PST,INFO,26127-1,TFADirectoryManager,Successfully added directory : /scratch/u01/app/grid_base/diag/clients/user_oradb/host_1524602613_110/cdump| DBCLIENT |{DBCLIENT|instance=user_oradb}|user_oradb|user_oradb,20f5f451,Successfully added directory : <*>
88,2021-12-20,15:50:50.681,PST,INFO,26127-1,TFADirectoryManager,Successfully added directory : /scratch/u01/app/grid_base/diag/clients/user_oradb/host_1524602613_110/trace| DBCLIENT |{DBCLIENT|instance=user_oradb}|user_oradb|user_oradb,20f5f451,Successfully added directory : <*>
89,2021-12-20,15:50:51.973,PST,INFO,26127-1,TFADirectoryManager,Successfully added directory : /scratch/u01/app/grid_base/diag/clients/user_root/host_1524602613_110/cdump| DBCLIENT |{DBCLIENT|instance=user_root}|user_root|user_root,20f5f451,Successfully added directory : <*>
90,2021-12-20,15:50:52.984,PST,INFO,26127-1,TFADirectoryManager,Successfully added directory : /scratch/u01/app/grid_base/diag/clients/user_root/host_1524602613_110/trace| DBCLIENT |{DBCLIENT|instance=user_root}|user_root|user_root,20f5f451,Successfully added directory : <*>
91,2021-12-20,15:50:52.990,PST,INFO,26127-1,TFADirectoryManager,Successfully added directory : /scratch/u01/app/grid_base/diag/crs/den00xrz/crs/cdump| CRS |null||,20f5f451,Successfully added directory : <*>
92,2021-12-20,15:50:53.996,PST,INFO,26127-1,TFADirectoryManager,Successfully added directory : /scratch/u01/app/grid_base/diag/crs/den00xrz/crs/trace| CRS |null||,20f5f451,Successfully added directory : <*>
93,2021-12-20,15:50:54.108,PST,INFO,26127-1,TFADirectoryManager,Successfully added directory : /scratch/u01/app/grid_base/diag/tnslsnr/den00xrz/listener_scan2| TNS |null||,20f5f451,Successfully added directory : <*>
94,2021-12-20,15:50:54.111,PST,INFO,26127-1,TFADirectoryManager,Successfully added directory : /scratch/u01/app/grid_base/diag/tnslsnr/den00xrz/listener_scan3| TNS |null||,20f5f451,Successfully added directory : <*>
95,2021-12-20,15:50:54.114,PST,INFO,26127-1,TFADirectoryManager,Successfully added directory : /scratch/u01/app/grid_base/diag/tnslsnr/den00xrz/listener| TNS |null||,20f5f451,Successfully added directory : <*>
