EventId,EventTemplate,Occurrences
5bc19ad6,Action Name : <*> Status : COMPLETE ActionArgs :,4
1d3a10af,Action Name : runinventory Status : FAILED-Duplicate run ActionArgs : null,2
ff441a49,Analysis already started for the file<*><*><*><*><*><*><*><*><*><*>,6
40d3df5d,Previous check point - : <*>,6
b050b070,Updating property <*> to value <*> in config.properties,4
156ffb33,NonRootConnectionAcceptor is Interrupted,1
733f3bd0,"SSL Switch : <*>, User Cert : <*> First Disccovery : <*>",1
44d8d399,Rediscovery Thread started in Mode : <*>,5
f4770e14,AutoSyncCertificatesThread Cluster Nodes : den<*>xrz,29
d73e5415,AutoSyncCertificatesThread TFA Node List : den<*>xrz,29
bfa7d186,Running Inventory after successful addition of directory ...,1
e9c19622,Rediscovery completed...,5
77b46649,Found new Directory during rediscovery: <*>,41
c0a404cb,Found new directories during rediscovery,2
cff9f977,Running inventory after rediscovery...,2
00aaaeb8,Not a Valid TFA Directory <*>,8
258e705b,CHM Retention - CRS Owner : oradb,1
f89d03da,Exit Status of CHM Retention Script : <*>,1
5ded2885,Action args in DiagCollection: -since <*>h -database all -rdbms -asm -crsclient -dbclient -dbwlm -tns -rhp -cvu -afd -crs -cha -wls -emagenti -emagent -oms -omsi -ocm -emplugins -em -acfs -install -cfgtools -os -sosreport -qos -dataguard -chmos -compliance -monitor -node all -copy -logid <*> -z tfa<*>collection :<*>den<*>xrz,1
29bea39a,flags for diagcollect -since <*>h -database all -rdbms -asm -crsclient -dbclient -dbwlm -tns -rhp -cvu -afd -crs -cha -wls -emagenti -emagent -oms -omsi -ocm -emplugins -em -acfs -install -cfgtools -os -sosreport -qos -dataguard -chmos -compliance -monitor -node all -copy -logid <*> -z tfa<*>collection,1
84e83bfd,DiagCollection Log FileName : <*><*><*><*><*><*>,7
7fc4e798,DiagCollection Console Log FileName : <*><*><*><*><*><*>,7
6c43f22f,Resetting merged collection variables for <*>,9
77a7543b,argsForInventory : <*>,7
45d70511,"Components to Inventory : OMSI, EMAGENT, ACFS, ASMPROXY, CRSCLIENT, EMAGENTI, OMS, DBWLM, OCM, CHA, AFD, CFGTOOLS, DBCLIENT, RDBMS, OS, CRS, EM, ASMIO, DATAGUARD, INSTALL, TNS, ASM, RHP, EMPLUGINS, WLS",4
369dbc7b,Collection Date : Mon Dec <*> <*>:<*>:<*> PST <*>,7
